,,,,,
"CPI - Rural, Urban, Combined (All India)",,,,,
,,,,,
Base : 2012 = 100,,,,,
,,,,,
,Month,Commodity Description,Provisional / Final,Combined,
,,,,Current Month,Inflation Y-o-Y
6/30/2015,JUN-2015,A.1.8) Pulses and products,Final,137.4,22.24
5/31/2015,MAY-2015,A) General Index,Final,121.6,5.01
5/31/2015,MAY-2015,A.1) Food and beverages,Final,125.0,5.13
5/31/2015,MAY-2015,A.1.1) Cereals and products,Final,123.6,2.06
5/31/2015,MAY-2015,A.1.7) Vegetables,Final,130.9,4.72
5/31/2015,MAY-2015,A.1.8) Pulses and products,Final,130.5,16.62
4/30/2015,APR-2015,A) General Index,Final,120.7,4.87
4/30/2015,APR-2015,A.1) Food and beverages,Final,124.0,5.44
4/30/2015,APR-2015,A.1.1) Cereals and products,Final,123.5,2.15
4/30/2015,APR-2015,A.1.7) Vegetables,Final,128.6,6.55
4/30/2015,APR-2015,A.1.8) Pulses and products,Final,124.8,12.43
3/31/2015,MAR-2015,A) General Index,Final,120.2,5.25
3/31/2015,MAR-2015,A.1) Food and beverages,Final,123.4,6.29
3/31/2015,MAR-2015,A.1.1) Cereals and products,Final,123.5,2.32
3/31/2015,MAR-2015,A.1.7) Vegetables,Final,129.2,11.09
3/31/2015,MAR-2015,A.1.8) Pulses and products,Final,122.4,11.48
2/28/2015,FEB-2015,A) General Index,Final,119.7,5.37
2/28/2015,FEB-2015,A.1) Food and beverages,Final,123.1,6.76
2/28/2015,FEB-2015,A.1.1) Cereals and products,Final,123.7,2.91
2/28/2015,FEB-2015,A.1.7) Vegetables,Final,129.4,13.01
2/28/2015,FEB-2015,A.1.8) Pulses and products,Final,120.9,10.61
1/31/2015,JAN-2015,A) General Index,Final,119.5,5.19
1/31/2015,JAN-2015,A.1) Food and beverages,Final,123.1,6.30
1/31/2015,JAN-2015,A.1.1) Cereals and products,Final,123.4,3.18
1/31/2015,JAN-2015,A.1.7) Vegetables,Final,133.0,8.84
1/31/2015,JAN-2015,A.1.8) Pulses and products,Final,119.1,9.37
12/31/2014,DEC-2014,A) General Index,Final,119.4,4.28
12/31/2014,DEC-2014,A.1) Food and beverages,Final,123.6,4.39
12/31/2014,DEC-2014,A.1.1) Cereals and products,Final,122.9,3.19
12/31/2014,DEC-2014,A.1.7) Vegetables,Final,140.5,-3.37
12/31/2014,DEC-2014,A.1.8) Pulses and products,Final,117.6,8.19
11/30/2014,NOV-2014,A) General Index,Final,120.1,3.27
11/30/2014,NOV-2014,A.1) Food and beverages,Final,125.1,2.04
11/30/2014,NOV-2014,A.1.1) Cereals and products,Final,123.3,4.40
11/30/2014,NOV-2014,A.1.7) Vegetables,Final,152.4,-16.77
11/30/2014,NOV-2014,A.1.8) Pulses and products,Final,117.2,8.32
10/31/2014,OCT-2014,A) General Index,Final,120.1,4.62
10/31/2014,OCT-2014,A.1) Food and beverages,Final,125.4,4.33
10/31/2014,OCT-2014,A.1.1) Cereals and products,Final,123.2,5.21
10/31/2014,OCT-2014,A.1.7) Vegetables,Final,156.8,-8.41
10/31/2014,OCT-2014,A.1.8) Pulses and products,Final,116.1,8.20
9/30/2014,SEP-2014,A) General Index,Final,120.1,5.63
9/30/2014,SEP-2014,A.1) Food and beverages,Final,125.8,6.34
9/30/2014,SEP-2014,A.1.1) Cereals and products,Final,122.9,5.58
9/30/2014,SEP-2014,A.1.7) Vegetables,Final,162.1,0.75
9/30/2014,SEP-2014,A.1.8) Pulses and products,Final,115.6,7.94
8/31/2014,AUG-2014,A) General Index,Final,120.3,7.03
8/31/2014,AUG-2014,A.1) Food and beverages,Final,126.6,8.58
8/31/2014,AUG-2014,A.1.1) Cereals and products,Final,122.7,6.14
8/31/2014,AUG-2014,A.1.7) Vegetables,Final,168.2,10.80
8/31/2014,AUG-2014,A.1.8) Pulses and products,Final,114.5,7.51
7/31/2014,JUL-2014,A) General Index,Final,119.2,7.39
7/31/2014,JUL-2014,A.1) Food and beverages,Final,124.7,8.72
7/31/2014,JUL-2014,A.1.1) Cereals and products,Final,122.4,6.62
7/31/2014,JUL-2014,A.1.7) Vegetables,Final,157.7,12.64
7/31/2014,JUL-2014,A.1.8) Pulses and products,Final,113.2,6.39
6/30/2014,JUN-2014,A) General Index,Final,116.7,6.77
6/30/2014,JUN-2014,A.1) Food and beverages,Final,120.4,7.31
6/30/2014,JUN-2014,A.1.1) Cereals and products,Final,121.5,6.77
6/30/2014,JUN-2014,A.1.7) Vegetables,Final,132.1,4.26
6/30/2014,JUN-2014,A.1.8) Pulses and products,Final,112.4,5.74
5/31/2014,MAY-2014,A) General Index,Final,115.8,8.33
5/31/2014,MAY-2014,A.1) Food and beverages,Final,118.9,8.88
5/31/2014,MAY-2014,A.1.1) Cereals and products,Final,121.1,7.84
5/31/2014,MAY-2014,A.1.7) Vegetables,Final,125.0,10.72
5/31/2014,MAY-2014,A.1.8) Pulses and products,Final,111.9,5.77
4/30/2014,APR-2014,A) General Index,Final,115.1,8.48
4/30/2014,APR-2014,A.1) Food and beverages,Final,117.6,9.19
4/30/2014,APR-2014,A.1.1) Cereals and products,Final,120.9,8.33
4/30/2014,APR-2014,A.1.7) Vegetables,Final,120.7,14.41
4/30/2014,APR-2014,A.1.8) Pulses and products,Final,111.0,5.41
3/31/2014,MAR-2014,A) General Index,Final,114.2,8.25
3/31/2014,MAR-2014,A.1) Food and beverages,Final,116.1,8.61
3/31/2014,MAR-2014,A.1.1) Cereals and products,Final,120.7,8.35
3/31/2014,MAR-2014,A.1.7) Vegetables,Final,116.3,13.80
3/31/2014,MAR-2014,A.1.8) Pulses and products,Final,109.8,4.57
2/28/2014,FEB-2014,A) General Index,Final,113.6,7.88
2/28/2014,FEB-2014,A.1) Food and beverages,Final,115.3,8.16
2/28/2014,FEB-2014,A.1.1) Cereals and products,Final,120.2,8.88
2/28/2014,FEB-2014,A.1.7) Vegetables,Final,114.5,10.95
2/28/2014,FEB-2014,A.1.8) Pulses and products,Final,109.3,3.80
1/31/2014,JAN-2014,A) General Index,Final,113.6,8.60
1/31/2014,JAN-2014,A.1) Food and beverages,Final,115.8,9.66
1/31/2014,JAN-2014,A.1.1) Cereals and products,Final,119.6,10.33
1/31/2014,JAN-2014,A.1.7) Vegetables,Final,122.2,19.57
1/31/2014,JAN-2014,A.1.8) Pulses and products,Final,108.9,2.74
12/31/2013,DEC-2013,A) General Index,Final,114.5,
12/31/2013,DEC-2013,A.1) Food and beverages,Final,118.4,
12/31/2013,DEC-2013,A.1.1) Cereals and products,Final,119.1,
12/31/2013,DEC-2013,A.1.7) Vegetables,Final,145.4,
12/31/2013,DEC-2013,A.1.8) Pulses and products,Final,108.7,
11/30/2013,NOV-2013,A) General Index,Final,116.3,
11/30/2013,NOV-2013,A.1) Food and beverages,Final,122.6,
11/30/2013,NOV-2013,A.1.1) Cereals and products,Final,118.1,
11/30/2013,NOV-2013,A.1.7) Vegetables,Final,183.1,
11/30/2013,NOV-2013,A.1.8) Pulses and products,Final,108.2,
10/31/2013,OCT-2013,A) General Index,Final,114.8,
10/31/2013,OCT-2013,A.1) Food and beverages,Final,120.2,
10/31/2013,OCT-2013,A.1.1) Cereals and products,Final,117.1,
10/31/2013,OCT-2013,A.1.7) Vegetables,Final,171.2,
10/31/2013,OCT-2013,A.1.8) Pulses and products,Final,107.3,
9/30/2013,SEP-2013,A) General Index,Final,113.7,
9/30/2013,SEP-2013,A.1) Food and beverages,Final,118.3,
9/30/2013,SEP-2013,A.1.1) Cereals and products,Final,116.4,
9/30/2013,SEP-2013,A.1.7) Vegetables,Final,160.9,
9/30/2013,SEP-2013,A.1.8) Pulses and products,Final,107.1,
8/31/2013,AUG-2013,A) General Index,Final,112.4,
8/31/2013,AUG-2013,A.1) Food and beverages,Final,116.6,
8/31/2013,AUG-2013,A.1.1) Cereals and products,Final,115.6,
8/31/2013,AUG-2013,A.1.7) Vegetables,Final,151.8,
8/31/2013,AUG-2013,A.1.8) Pulses and products,Final,106.5,
7/31/2013,JUL-2013,A) General Index,Final,111.0,
7/31/2013,JUL-2013,A.1) Food and beverages,Final,114.7,
7/31/2013,JUL-2013,A.1.1) Cereals and products,Final,114.8,
7/31/2013,JUL-2013,A.1.7) Vegetables,Final,140.0,
7/31/2013,JUL-2013,A.1.8) Pulses and products,Final,106.4,
6/30/2013,JUN-2013,A) General Index,Final,109.3,
6/30/2013,JUN-2013,A.1) Food and beverages,Final,112.2,
6/30/2013,JUN-2013,A.1.1) Cereals and products,Final,113.8,
6/30/2013,JUN-2013,A.1.7) Vegetables,Final,126.7,
6/30/2013,JUN-2013,A.1.8) Pulses and products,Final,106.3,
5/31/2013,MAY-2013,A) General Index,Final,106.9,
5/31/2013,MAY-2013,A.1) Food and beverages,Final,109.2,
5/31/2013,MAY-2013,A.1.1) Cereals and products,Final,112.3,
5/31/2013,MAY-2013,A.1.7) Vegetables,Final,112.9,
5/31/2013,MAY-2013,A.1.8) Pulses and products,Final,105.8,
4/30/2013,APR-2013,A) General Index,Final,106.1,
4/30/2013,APR-2013,A.1) Food and beverages,Final,107.7,
4/30/2013,APR-2013,A.1.1) Cereals and products,Final,111.6,
4/30/2013,APR-2013,A.1.7) Vegetables,Final,105.5,
4/30/2013,APR-2013,A.1.8) Pulses and products,Final,105.3,
3/31/2013,MAR-2013,A) General Index,Final,105.5,
3/31/2013,MAR-2013,A.1) Food and beverages,Final,106.9,
3/31/2013,MAR-2013,A.1.1) Cereals and products,Final,111.4,
3/31/2013,MAR-2013,A.1.7) Vegetables,Final,102.2,
3/31/2013,MAR-2013,A.1.8) Pulses and products,Final,105.0,
2/28/2013,FEB-2013,A) General Index,Final,105.3,
2/28/2013,FEB-2013,A.1) Food and beverages,Final,106.6,
2/28/2013,FEB-2013,A.1.1) Cereals and products,Final,110.4,
2/28/2013,FEB-2013,A.1.7) Vegetables,Final,103.2,
2/28/2013,FEB-2013,A.1.8) Pulses and products,Final,105.3,
1/31/2013,JAN-2013,A) General Index,Final,104.6,
1/31/2013,JAN-2013,A.1) Food and beverages,Final,105.6,
1/31/2013,JAN-2013,A.1.1) Cereals and products,Final,108.4,
1/31/2013,JAN-2013,A.1.7) Vegetables,Final,102.2,
1/31/2013,JAN-2013,A.1.8) Pulses and products,Final,106.0,
